Genus,Species,Brain mass (g),Body mass (g)
Capreolus,capreolus,103.5,15422
Capreolus,capreolus,93,14062
Capreolus,capreolus,92,17000
Capreolus,capreolus,83,21000
Cebus,capucinus,65,1247
Cebus,capucinus,72,1750
Cebus,capucinus,65,1814
Cebus,capucinus,71.6,2718
Cebus,capucinus,66,930
Cebus,capucinus,75,1021
Cebus,capucinus,68,1126
Cebus,capucinus,74,1250
Cebus,capucinus,73.3,3833
Cebus,capucinus,72.18,3101
Cebus,capucinus,73,3700
Caracal,caracal,65.2,18000
Vampyrodes,caraccioli,0.947,39.7
Alouatta,caraya,55.8,7070
Alouatta,caraya,45.6,2955
Sciurus,carolinensis,6.44,300
Sciurus,carolinensis,6.7,312
Sciurus,carolinensis,6.83,321
Sciurus,carolinensis,7.02,364
Sciurus,carolinensis,7.5,399
Sciurus,carolinensis,7.6,404.5
Sciurus,carolinensis,6.55,410
Sciurus,carolinensis,7.84,445
Sciurus,carolinensis,7.03,468
Sciurus,carolinensis,8.22,470
Sciurus,carolinensis,7.7,502
Sciurus,carolinensis,6.8,510
Sciurus,carolinensis,8.95,522.5
Sciurus,carolinensis,7.7,401
Sciurus,carolinensis,7.2,438
Sciurus,carolinensis,7.15,459.5
Sciurus,carolinensis,7.67,502
Sciurus,carolinensis,7.58,514
Sciurus,carolinensis,8.25,595.5
Sciurus,carolinensis,6.49,367
Sciurus,carolinensis,7.48,466
Sciurus,carolinensis,7.58,469
Sciurus,carolinensis,7.17,574.5
Funisciurus,carruthersi,4.48,268
Carollia,castanea,0.4485,12.55
Lemur,catta,23.35,1246
Lemur,catta,22.3,1960
Lemur,catta,21.8,1960
Lemur,catta,22,2200
Lemur,catta,20.8,2350
Anoura,caudifer,0.4225,10.5
Brachyphylla,cavernarum,1.278,46.75
Ziphius,cavirostris,2004,2273000
Ametrida,centurio,0.29,10.5
Paraxerus,cepapi,2.85,216
Cercopithecus,cephus,57.5,1915
Cercopithecus,cephus,76,3508
Antilope,cervicapra,90,13500
Antilope,cervicapra,118,33500
Antilope,cervicapra,200,38500
Melomys,cervinipes,1.31,70
Hipposideros,cervinus,0.214,7.3
Pipistrellus,ceylonicus,0.182,10.1
Conepatus,chinga,21,2500
Hydromys,chrysogaster,4.33,698
Aethomys,chrysophilus,1.25,117
Neotoma,cinerea,2.65,331.3
Urocyon,cinereoargenteus,37.28,3749
Urocyon,cinereoargenteus,44.2,7000
Dermanura,cinereus,0.4685,12.4
Sorex,cinereus,0.17,3.9
Arielulus,circumdatus,0.23,10.4
Rhynchocyon,cirnei,6.1,490
Rhynchocyon,cirnei,5.7,525
Trachops,cirrhosus,0.9115,36.45
Civettictis,civetta,52,18000
Rhinolophus,clivosus,0.242,20.1
Rhinolophus,coelophyllus,0.259,7.7
Stenella,coeruleoalba,980,62000
Stenella,coeruleoalba,930,63000
Stenella,coeruleoalba,785,64000
Stenella,coeruleoalba,840,65000
Stenella,coeruleoalba,692,35000
Stenella,coeruleoalba,805,42000
Stenella,coeruleoalba,840,51000
Stenella,coeruleoalba,835,71000
Stenella,coeruleoalba,820,56300
Urocitellus,columbianus,3.5,453.6
Grammomys,cometes,0.96,40.7
Hipposideros,commersonii,0.74475,101.25
Puma,concolor,154,54432
Puma,concolor,174.2,105000
Artibeus,concolor,0.633,19.4
Mops,condylurus,0.42225,26.65
