YEAR	FOCAL_DEPTH	EQ_PRIMARY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED
1886		7.5	GREECE		"GREECE:  TRIPHYLIE (PELEPONESE), PHILIATRA"	37.1	21.5	130	600				
1886			INDONESIA		INDONESIA:  KOETA RADJA (ATJEH)	5.6	95.3	60					
1887	80	8	MEXICO		MEXICO:  BAVISPE	31	-109	150	44			3	
1887			MEXICO		"MEXICO:  GUERRERO,MORELOS"	28.2	-100.2	150					
1887			MEXICO		MEXICO:  GUERRERO	17.7	-100	150					
1887			HAITI		HAITI:  MOLE SAINT NICOLAS	19.7	-74.4	90					
1887			ALGERIA		ALGERIA:  KALAA	35.58	0.33	15	20		331	3	
1887			ITALY		ITALY:  LIGURIAN COAST	43.9	8.1	130	800				
1887			ITALY		ITALY:  N	44.2	12	130					
1887			ITALY		ITALY:  BISIGNANO	39.6	16.3	130					
1887			GREECE		GREECE:  XYLOKASTRON-SYKIA (CORINTHIA)	38.3	22.8	130					
1887	20	7.3	KAZAKHSTAN		KAZAKHSTAN:  VERNENSK	43.1	76.8	40					
1887			INDONESIA		INDONESIA:  SUMATRA:  ACEH:  SIGLI	5.4	96	60					
1887		6.8	CHINA		CHINA:  YUNNAN PROVINCE	23.7	102.5	30	2000			3	
1887			PHILIPPINES		"PHILIPPINES:  PANAY, ILOILO"	10.7	122.6	170					
1887			PHILIPPINES		"PHILIPPINES:  SE LUZON:  CAMARINES, NUEVA CACERES"	13.7	123.3	170					
1888			COSTA RICA		"COSTA RICA:  SAN JOSE, ALA JUELA, HEREDIA"	9.95	-84.1	90			1439	4	2271
1888			VENEZUELA		VENEZUELA:  GUANARE	9.2	-69.8	160					
1888		7.5	TRINIDAD AND TOBAGO		TRINIDAD; GRENADA:  ST GEORGE'S	10.3	-61.1	90	1				
1888			URUGUAY		URUGUAY:  COLOGNE	-34.5	-57.9	160					
1888			GREECE		GREECE:  AEGHION (ACHAIA)	38.2	22.1	130					
1888		6.1	TURKEY		TURKEY	41.3	43.3	140					
1888			IRAN		IRAN:  LAKE IRENE	33.3	49.3	140					
1888			INDONESIA		INDONESIA:  SUMATERA:  BREUEH ISLAND	5.8	95	170					
1888		5	CHINA		CHINA:  QINGHAI PROVINCE	36.5	102.2	30				2	
1888			CHINA		CHINA:  GANSU PROVINCE	37.1	104.2	30				3	
1888		7.5	CHINA		CHINA:  BOHAI GULF	38.5	119	30				3	
1888		7.3	NEW ZEALAND		NEW ZEALAND:  SOUTH ISLAND: AMURI DISTRICT	-34.5	172.7	170					
1889			MEXICO		MEXICO:  GUERRERO	17.7	-100	150					
1889			MEXICO		MEXICO:  MORELOS	18.8	-99	150					
1889		4.7	COTE D'IVOIRE		COTE D'IVOIRE:  BAIBU	6.8	-6.7	10					
1889			GREECE		"GREECE:  AEGHION (ACHAIA),AGRINION (AETOLIA)"	38.3	22	130					
1889		6.9	GREECE		GREECE:  LESBOS	39.2	26	130	25				
1889		8.3	KAZAKHSTAN		"KAZAKHSTAN:  CILIK, ALMA-ATA"	43.2	78.7	40					
1889		6	INDONESIA		"INDONESIA:  MADURA ISLAND, JAVA"	-7	113.5	170					
1889		6.8	PHILIPPINES		"PHILIPPINES:  MINDANAO,MINDORO"	13.5	121	170					
1889	70	8	INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	1	126.25	170				2	
1889		6.3	JAPAN		JAPAN:  KUMAMOTO	32.8	130.7	30	20		239	3	
1890	10	7.2	IRAN		"IRAN:  TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD"	36.6	54.6	140	171			3	
1890			INDONESIA		INDONESIA:  JAVA:  PATI	-6.76	111.04	170				3	
1890		5.5	CHINA		CHINA:  SHANXI PROVINCE	36.9	112.9	30				3	
1890			PHILIPPINES		"PHILIPPINES:  SAMAR,LEYTE:  CATBALOGAN,BARUGO"	11.2	124.4	170					
1890			INDONESIA		INDONESIA:  BANDANEIRA	-4.5	129.9	170					
1891			USA	WA	WASHINGTON:  PUGET SOUND	48	-123.5	150					
1891			MEXICO		N. MEXICO	25.5	-103.5	150					
1891			ALGERIA		"ALGERIA:  BOURAVA, GOURAYA"	36.5	1.8	15	36		75	2	
1891			TURKEY		TURKEY:  VAN:  ADELJIWAZ	38.3	43.2	140					
1891			INDONESIA		INDONESIA:  SUMATRA:  ACEH:  SIGLI	5.4	96	60					
1891		5.8	CHINA		CHINA:  SHANXI PROVINCE	37.1	111.9	30	31			2	
1891	80	7	INDONESIA		TIMOR SEA	-9	124	170					
1891		8.4	JAPAN		JAPAN:  MINO-OWARI	35.5	137	30	7273		142177	4	
1891		6.2	NEW ZEALAND		NEW ZEALAND	-37.4	174.4	170					
1892			USA	CA	"CALIFORNIA:  VACAVILLE,WINTERS"	38.5	-122.5	150		0.25			
1892		6.2	USA	CA	CALIFORNIA:  WINTERS	38.5	-121.9	150					
1892			MEXICO	CA	MEXICO:  BAJA CALIFORNIA	31.5	-116.5	150					
1892			CHILE		CHILE:  ARICA	-18.5	-70.35	160					
1892			PAKISTAN		"PAKISTAN:  CHAMAN,BALUCHISTAN"	30.5	66.2	60					
1892			INDONESIA		"INDONESIA:  SUMATRA:  PADANGSIDIMPUAN, LAKE TOBA"	2.5	99.5	170				3	
1892			PHILIPPINES		"PHILIPPINES:  LUZON:  ABRA,PANGASINAN,UNION"	17.3	120.6	170	2				
1892			PHILIPPINES		"PHILIPPINES:  BATAN ISLAND,SAN DOMINGO"	21	122	170					
1892	70	7	INDONESIA		INDONESIA: SERAM ISLAND	-3	127.75	170					
1892			JAPAN		JAPAN:  SW. HONSHU ISLAND	37	136.8	30					
1892		7.5	USA TERRITORY	GU	GUAM	14	143.3	170				1	
1892			VANUATU		VANUATU ISLANDS:  ESPIRITU SANTO	-15.25	166.83	170					
1893			JAMAICA		JAMAICA: KINGSTON	17.97	-76.8	90					
1893			ITALY		ITALY:  MATTINATA	41.75	16	130					
1893		7.5	ALBANIA		"ALBANIA: HIMARA, DHERMI, KUC, KUDHESI, VLORE, KANINA"	40.2	19.7	130					
1893		6.4	GREECE		GREECE:  ZAKINTHOS (ZANTE)	37.7	20.9	130					
1893		6.4	GREECE		"GREECE:  ZAKINTHOS (ZANTE), GAITANI-KERI"	37.7	20.9	130			2000	4	
1893			SERBIA		BALKANS:  NW:  POPOVIC	44.2	21.2	130	3			3	
1893		6.5	GREECE		GREECE:  SAMOTHRAKI	40.5	25.5	130				2	
1893		6.7	TURKEY		TURKEY:  MALATYA	38.3	38.3	140	400				
1893		6.6	IRAN		"IRAN:  QUCHAN, MASHHAD, BOJNURD"	37.2	58.4	140	18000			4	
1893		6.5	CHINA		CHINA: XINJIANG	41.2	80.3	40				3	
1893		6.8	CHINA		CHINA: XINJIANG	41.7	82.8	40	90		556	3	
1893		6.8	CHINA		CHINA:  SICHUAN PROVINCE	30.5	101.5	30	288			3	
1893		5.5	CHINA		CHINA:  QINGHAI PROVINCE	36.6	101.8	30			300	3	300
1893			PHILIPPINES		PHILIPPINES:  E MINDANAO:  AGUSAN RIVER	6.9	125.8	170				3	
1893			JAPAN		"NEMURO, JAPAN"	42.5	145.5	30					
1893			RUSSIA		RUSSIA:  S. KURIL ISLANDS	43.3	147.5	50					
1893		6	VANUATU		VANUATU ISLANDS	-17.75	168.3	170					
1894	20	8.2	VENEZUELA		"VENEZUELA:  MERIDA,TOVAR; COLOMBIA: N SANTANDER"	8.5	-71.7	160	400				
1894			VENEZUELA		VENEZUELA:  CARACHE	9.4	-70.1	160					
1894		7.5	ARGENTINA		"ARGENTINA:  LA RIOJA, SAN JUAN, MENDOZA"	-32	-68.5	160					
1894			ITALY		"ITALY:  PALMI, SANTA CRISTINA"	38.3	15.9	130	101				
1894		6.3	GREECE		GREECE:  DUKAT	37.75	21.75	130				2	
1894		6.9	GREECE		GREECE:  ST KONSTANTINOS-ARKITSA (LOKRIS)	38.7	23.1	130					
1894		6.7	GREECE		"GREECE:  LOCRIDE, MALESINA-MARTINON (LOKRIS)"	38.6	23.2	130	255				
1894			TURKEY		TURKEY	40.6	28.7	140					
1894			IRAN		IRAN:  SHIRAZ	29.4	52.3	140				3	
1894			IRAN		IRAN:  QUCHAN	37.1	58.3	140				1	
1894			PHILIPPINES		PHILIPPINES:  SE MINDANAO:  DAVAO GULF	6	126	170					
1894			PHILIPPINES		PHILIPPINES:  E MINDANAO:  AGUSAN RIVER VALLEY	8.2	126.1	170					
1894		7	JAPAN		JAPAN:  SYONAI	38.9	139.8	30	726		3858	4	
1894		7.5	JAPAN		JAPAN:  TOKYO	35.7	139.9	30	24		90	2	
1894	40	7.9	JAPAN		JAPAN:  OFF COAST OF HONSHU	42.5	146	30	1		14	1	87
1895			USA	MO	MISSOURI:  CHARLESTON	37	-89.4	150					
1895		4.3	USA	NY	NEW JERSEY: HIGH BRIDGE	40.667	-74.883	150					
1895			CHILE		CHILE:  NORTHERN	-18	-71	160					
1895			ITALY		"ITALY:  FLORENCE, S. MARTINO, BOSSI"	43.9	11.1	130				3	
1895			ITALY		ITALY:  TYRRHENIAN SEA	41.7	12.2	130					
1895	16	6.1	SLOVENIA		BALKANS NW:  SLOVENIA:  LJUBLJANA	46.1	14.5	130	7			3	
1895			ALBANIA		ALBANIA:  DURRES	41.2	19.3	130					
1895			ALBANIA		ALBANIA:  HIMARA	40.1	19.4	130					
1895		6.4	ALBANIA		ALBANIA:  GJIROKASTER	40	20.1	130					
1895		7.5	GREECE		GREECE:  MARGARITION-FILIATES (THESPROTIA)	39.5	20.5	130					
1895			GREECE		GREECE-ALBANIA	39.5	20.5	130					
1895			IRAN		IRAN:  TEHRAN	35.7	51.4	140					
1895	60	8.2	TURKMENISTAN		TURKMENISTAN:  UZUN-ADA	39.5	53.7	140				3	
1895		6.8	IRAN		IRAN:  QUCHAN	37.1	58.4	140	1000			4	
1895			MYANMAR (BURMA)		MYANMAR (BURMA):  RANGOON	16.8	96.2	60					
1895		6	CHINA		CHINA: GUANGDONG PROVINCE	23.5	116.5	30				3	
1895			PHILIPPINES		PHILIPPINES:  N MINDORO:  CALAPAN	13.4	121.7	170					
1895			JAPAN		"W. KYUSHU ISLAND, JAPAN"	33	130	30					
1895		7.3	SOLOMON SEA		W. SOLOMON SEA	-8.4	150.1	170					
1895	12	6	NEW ZEALAND		NEW ZEALAND:  TAUPO	-38.8	176	170					
1896			MEXICO		MEXICO:  COLIMA	19.2	-104	150					
1896			JAMAICA		JAMAICA: KINGSTON	17.6	-76.7	90					
1896			CHILE		"CHILE:  LIMACHE, ALMENDRAL"	-33	-71	160					
1896			ICELAND		ICELAND:  ARNESSYSLA	64	-21	120					
1896			ITALY		ITALY:  LIGURIAN COAST	43.7	8.1	130					
1896			IRAN		IRAN:  KHVOY (KHOY)	38.5	45	140	800				
1896			IRAN		IRAN:  SANGABAD (SENJABAD)	37.8	48.3	140	300				
1896			IRAN		IRAN:  QOBEH-E-SABZ (KERMAN)	30.3	57.1	140					
1896	160	7.5	AFGHANISTAN		AFGHANISTAN	37	71	40					
1896	25	6.6	CHINA		CHINA:  XINJIANG PROVINCE:  KASHGAR	39.7	75.9	40	7		73	2	73
1896		6.5	CHINA		CHINA:  XINJIANG	38	76	40	7		42	1	42
1896	130	6.8	INDONESIA		"INDONESIA:  SW. SUMATRA, JAVA"	-3.5	102.5	170					
1896		5.8	CHINA		CHINA:  SICHUAN PROVINCE:  FUSHUN	29.2	104.9	30	26			3	
1896			INDONESIA		INDONESIA:  TIMOR:  ALOR ISLAND	-8.25	124.75	170	250			3	
1896			JAPAN		"KASHIMA, JAPAN"	36.5	141	30					
1896			JAPAN		"JAPAN:  SENHOKU, UGO"	40	141	30	206		5911	4	5911
1896		8.3	JAPAN		JAPAN:  SANRIKU	39.5	144	30	27122		11000	4	11000
1896	40	7.6	RUSSIA		RUSSIA:  KURIL ISLANDS	43.5	146	50					
1897		7	MEXICO		MEXICO:  OAXACA:  TEHUANTEPEC	17	-96.3	150					
1897		7	MEXICO		MEXICO:  TEHUANTEPEC	16	-95	150				2	
1897	70	7.7	PERU		PERU	-11.9	-76.8	160					
1897			DOMINICAN REPUBLIC		DOMINICAN REPUBLIC: SANTO DOMINGO	18.5	-69.95	90				1	
1897			MONTSERRAT		MONTSERRAT	16.72	-62.18	90				3	
1897			GUADELOUPE		GUADELOUPE; ANTIGUA; ST KITTS	16.5	-61.8	90	6			1	100
1897			ITALY		ITALY:  TYRRHENIAN SEA	39	12.5	130					
1897			ALBANIA		ALBANIA	40	20.1	130					
1897	33	6.1	IRAN		"IRAN:  QESHM ISLAND, LARAK ISLAND"	26.95	56.26	140	1600			4	
1897	33	8	INDIA		INDIA:  ASSAM	26	91	60	1542			4	
1897	33	7.9	PHILIPPINES		PHILIPPINES:  LUZON:  ILOCOS SUR	18	120	170					
1897	15	5.5	INDONESIA		INDONESIA:  KAJUADI ISLAND	-6.8	120.8	170					
1897		6	TAIWAN		TAIWAN:  YILAN	24.7	121.8	30	56		50	1	
1897	33	8.6	PHILIPPINES		PHILIPPINES:  NW MINDANAO:  DAPITAN	6	122	170					
1897	33	8.7	PHILIPPINES		"PHILIPPINES:  MINDANAO, ZAMBOANGA, SULU, ISABELA"	6	122	170				3	
1897	33	7.9	PHILIPPINES		PHILIPPINES:  MASBATE ISLAND	12	124	170				2	
1897	33	8.1	PHILIPPINES		PHILIPPINES:  NORTHERN SAMAR	12	126	170			17	1	
1897			PHILIPPINES		PHILIPPINES:  NORTHERN SAMAR	12	126	170					
1897	33	7.9	PHILIPPINES		PHILIPPINES:  NORTHERN SAMAR	12	126	170					
1897	14	6.5	AUSTRALIA		"AUSTRALIA: BEACHPORT,ROBE,KINGSTON,MOUNT GAMBIER"	-37.3	139.7	170					
1897	60	8.3	JAPAN		JAPAN	40	140	30					
1897	33	7.4	JAPAN		JAPAN:  SANRIKU	38.1	141.9	30				3	
1897	60	7.9	JAPAN		JAPAN	39	143	30					
1897		7.7	JAPAN		JAPAN:  SANRIKU	38	143.7	30					
1898			USA	CA	"CALIFORNIA:  N COAST,MENDOCINO COUNTY"	39	-124	150					
1898		6.5	USA	CA	CALIFORNIA:  SONOMA COUNTY	38.2	-122.4	150					
1898	33	7.9	NICARAGUA		"NICARAGUA:  LEON, CHINANDEGA, MANAGUA"	12	-86	100					
1898		6.5	CHILE		CHILE:  CONCEPCION	-36.83	-73.03	160	6			2	
1898			ITALY		ITALY	42.4	13	130					
1898			CROATIA		"BALKANS NW:  CROATIA:  CAPARICE,GRAB,KUSUTE"	43.6	16.7	130					
1898		6.2	GREECE		GREECE:  IOANNINA	39.75	20.75	130					
1898			GREECE		GREECE:  ZAKYNTHOS	37.75	21	130				1	
1898	5	4.3	IRAN		IRAN:  GORGAN (ASTRABAD); TURKMENISTAN	36.5	54.9	140					
1898		6	CHINA		CHINA: XINJIANG	39.8	76.6	40	47		425	3	
1898		5.5	CHINA		CHINA:  SHANXI PROVINCE	39.1	113	30	12		570	3	
1898		7.2	JAPAN		JAPAN:  SANRIKU	38.6	142	30				3	
1898		7.6	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS	52	172	150					
1899	25	8.2	USA	AK	ALASKA:  CAPE YAKATAGA	60	-142	150					
1899	25	7.8	USA	AK	ALASKA:  CAPE YAKATAGA	60	-140	150					
1899	60	8.2	USA	AK	ALASKA:  SE ALASKA	60	-140	150					
1899		6.4	USA	CA	CALIFORNIA	33.5	-117	150	6				
1899	60	8.4	MEXICO		MEXICO:  GUERRERO-OAXACA	17	-98	150					
1899	60	7.8	JAMAICA		JAMAICA	18	-77	90					
1899			VENEZUELA		VENEZUELA:  BARQUISIMETO	10.4	-69.2	160					
1899	10	6.9	BOLIVIA		BOLIVIA:  SOUTHERN	-21.97	-63.67	160					
1899		6.6	GREECE		GREECE:  KYPARISSIA (MESSINIA)	37.25	21.75	130					
1899		6.7	TURKEY		"TURKEY:  SULTANHISAR,ATCA,NAZILLI,KUYUCAK,DENIZLI"	37.93	28.84	140	1117		7126	4	
1899		5.6	TURKEY		TURKEY	41.6	43.5	140	247				
1899		7.8	INDONESIA		INDONESIA:  BANDA SEA	-3	128.5	170	2460				
1899			AUSTRALIA		"AUSTRALIA:  POINT CHARLES, DARWIN"	-12.4	130.7	170					
1899	60	7.1	JAPAN		JAPAN:  SEIKAIDO	31.9	132	30					
1899			JAPAN		"SEIKAIDO, JAPAN"	31.9	132	30					
1899			PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMRACK SEA	-5	148	170					
1899			PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND:  EAST COAST	-3	152	170					
1899	20	7.9	RUSSIA		RUSSIA:  KAMCHATKA PENINSULA	53	159	50					
1900		8.3	USA	AK	ALASKA:  KODIAK ISLAND	57.09	-153.48	150					
1900			USA	AK	ALASKA:  SE. ALASKA	58.6	-137.5	150					
1900	10	7.4	MEXICO		MEXICO	20	-105	150					
1900	60	7.8	MEXICO		MEXICO:  NEAR COAST OF JALISCO	20	-105	150					
1900	60	7.5	COSTA RICA		COSTA RICA	10	-85.5	100					
1900		7.9	COLOMBIA		COLOMBIA	4.6	-74	160					
1900			VENEZUELA		VENEZUELA:  MAIQUETIA	10.6	-66.95	90					
1900	25	8.4	VENEZUELA		VENEZUELA:  MACUTO	11	-66	90					
1900			VENEZUELA		"VENEZUELA:  CASANAY (CASANAI),CARIACO"	10.3	-63.3	160					
1900		5.9	TURKEY		"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1	140	140				
1900			INDONESIA		INDONESIA:  JAVA:  SUKABUMI	-6.84	106.96	170					
1900			INDONESIA		INDONESIA:  GALELA (HALMAHERA ISLAND)	-0.03	127.25	170					
1900		7.8	JAPAN		JAPAN:  SEA OF JAPAN	36.5	133.5	30					
1900	33	6.9	INDONESIA		INDONESIA:  NW. IRIAN JAYA	-4	140	170					
1900	40	7.9	RUSSIA		RUSSIA:  KURIL ISLANDS	43	146	50					
1900		7.1	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  RABAUL HARBOR	-5	148	170					
1900		6.6	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	-4	152	170					
1900	33	7.6	SOLOMON ISLANDS		SOLOMON ISLANDS:  SANTA CRUZ ISLANDS	-10	165	170					
1901		7.8	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	51.45	-171.02	150					
1901		6.4	USA	CA	CALIFORNIA:  SAN DIEGO	36	-120.5	150					
1901		7	NICARAGUA		NICARAGUA	11	-86.5	100					
1901	25	7.8	ECUADOR		ECUADOR:  ESMERALDAS	-2	-82	160					
1901		5.9	TURKEY		"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS"	39.4	26.7	140					
1901		7.2	BULGARIA		BULGARIA:  BALCHIK	43.4	28.5	110	4		1200	4	
1901		6.4	BULGARIA		"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU"	43.4	28.7	110	4		1200	4	1200
1901		6.1	TURKEY		"TURKEY:  HASANKALE,HINS,ERZURUM"	40	41.5	140					
1901		6	CHINA		CHINA:  YUNNAN PROVINCE	26	100.1	30				3	
1901			PHILIPPINES		"PHILIPPINES:  LUZON:  E TAYABAS,CALAUAG BAY"	14	121.6	170					
1901	33	7.8	PHILIPPINES		PHILIPPINES:  LUZON	14	122	170					
1901	60	7.9	JAPAN		JAPAN:  RYUKYU ISLANDS	27	130	30					
1901	33	8.2	JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	40.6	142.3	30	18		8	1	
1901	33	7.9	JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	40.5	142.5	30					
1901	33	6.3	JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	40.5	142.5	30					
1901	33		JAPAN		"IWATE, JAPAN"	39	143	30					
1901	30	7.5	RUSSIA		RUSSIA:  KURIL ISLANDS	45	148	50					
1901	60	8.4	NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	-22	170	170					
1902	60	7.8	TONGA		TONGA ISLANDS	-20	-174	170					
1902		7.8	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	52.4	-167.5	150					
1902			USA	CA	CALIFORNIA:  SOUTHERN	34.5	-120.5	150					
1902	60	7.8	MEXICO		MEXICO:  BAJA CALIFORNIA	29	-114	150					
1902		7	MEXICO		MEXICO:  GUERRERO	17.6	-99.7	150	2				
1902	100	7.8	MEXICO		"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO"	16.6	-92.6	150					
1902		6.3	GUATEMALA		"GUATEMALA:  SAN MARTIN, QUEZALTENANGO"	14.71	-91.59	100				1	
1902	33	7.5	GUATEMALA		"GUATEMALA:  QUEZALTENANGO, SAN MARCOS"	14	-91	100	2000				
1902		7	EL SALVADOR		EL SALVADOR-GUATEMALA	13.5	-89.5	100					
1902		6.6	TURKEY		TURKEY:  THESSALONIKI	40.75	23.25	140					
1902		5.5	TURKEY		TURKEY:  CANKIRI	40.7	33.6	140	4				
1902	15	6.9	AZERBAIJAN		AZERBAIJAN:  SEMACHA; N IRAN	40.7	48.6	40	86		3496	4	3496
1902			IRAN		"IRAN:  QESHM,BANDAR ABBAS"	26.6	56.2	140	10				
1902			IRAN		"IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU"	27.1	56.3	140					
1902	9	6.4	UZBEKISTAN		UZBEKISTAN:   ANDIZHAN	40.8	72.3	40	4880		41704	4	41704
1902	30	7.7	CHINA		"CHINA:  XINJIANG, TURKESTAN"	39.88	76.2	40	2500			4	
1902		5.5	CHINA		CHINA:   YUNNAN PROVINCE	26.3	99.9	30	6			3	
1902			PHILIPPINES		"PHILIPPINES:  ILOILO,PANAY"	10.8	122.6	170					
1902		7.3	PHILIPPINES		"PHILIPPINES:  MINDANAO:  LANAO, COTABATO"	7.5	123.5	170				3	
1902	33	8.1	USA TERRITORY	GU	GUAM:  AGANA	18	146	170					
1902	600	8	RUSSIA		RUSSIA:  SEA OF OKHOTSK	50	148	50					
1902	60	7.8	PAPUA NEW GUINEA		PAPUA NEW GUINEA	-8	150	170					
1903	400	8	TONGA		TONGA ISLANDS	-20	-175	170					
1903		8.3	USA	AK	ALASKA:  SOUTHWEST	61.56	-158.54	150					
1903			MEXICO		MEXICO:  ACAPULCO	16.7	-99.2	150					
1903	33	7.7	MEXICO		MEXICO:  OFF COAST OF GUERRERO	15	-98	150					
1903		7.7	COLOMBIA		COLOMBIA	4.6	-74	160					
1903		6.5	CHILE		"CHILE:  VALLENAR, FREIRINA"	-28.5	-71	160				2	
1903			CHILE		CHILE:  IQUIQUE	-20.2	-70.15	160					
1903			ITALY		ITALY:  N	44.3	10	130					
1903			ITALY		ITALY:  PALERMO	38.1	13.4	130					
1903	100	7.8	GREECE		GREECE:  MITATA (KYTHERA)	36	23	130	2				
1903		5.7	ISRAEL		ISRAEL:  NABULUS	32.2	35.3	140	20				
1903			TURKEY		TURKEY	39.1	42.4	140	1700				
1903		6.3	TURKEY		TURKEY:  MALAZGIRT	39.1	42.5	140	3560		12000	4	
1903		5.8	TURKEY		"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK"	40.9	42.7	140	1000				
1903		6.5	IRAN		IRAN:  KASHMAR	35.2	58.2	140	350				
1903	60	7.8	MONGOLIA		MONGOLIA	48	98	40					
1903		8.1	INDONESIA		INDONESIA:  S OF JAVA	-8	106	170					
1903	60	7.8	PHILIPPINES		PHILIPPINES:  DAVAO GULF	7	126	170					
1903	33	6.5	INDONESIA		"INDONESIA:  TIFU, MASARETE, KAJELI"	-3	127.5	170					
1903			USA TERRITORY	GU	GUAM	14	143.3	170					
1903	60	7.9	VANUATU		VANUATU ISLANDS	-17	168	170					
1904		8.3	USA	AK	ALASKA:  RAMPART	64.66	-148.08	150					
1904	60	7.2	PANAMA		PANAMA:  BOCAS DEL TORO	9.2	-82.8	100					
1904		7.7	ECUADOR		ECUADOR	-1	-80.5	160					
1904	60	7.9	COLOMBIA		PANAMA-COLOMBIA	7	-79	160					
1904	15	7.5	BULGARIA		BULGARIA:  STRUMA	41.8	23.2	110					
1904	15	7.8	BULGARIA		BULGARIA:  STRUMA	41.8	23.2	110					
1904	10	6.2	GREECE		"GREECE:  SAMOS, PATMOS"	37.75	27	130	4		540	3	540
1904		6	CHINA		CHINA:  SICHUAN PROVINCE	31.2	100.9	30	400			3	
1904			INDONESIA		INDONESIA:  S. JAVA	-7.7	109	170					
1904		6.3	TAIWAN		TAIWAN:  JIAYI	23.5	120.3	30	145		661	3	
1904		6	TAIWAN		TAIWAN:  JIAYI	23.5	120.5	30	3		66	2	
1904	25	7.9	JAPAN		JAPAN:  KYUSHU	30	130	30					
1904	350	7.9	JAPAN		JAPAN:  SEA OF JAPAN	40	134	30					
1904	40	7.6	JAPAN		JAPAN:  HOKKAIDO	42.5	145.8	30					
1904	30	8.3	RUSSIA		RUSSIA:  OFF KAMCHATKA	52	159	50					
1904	30	8.1	RUSSIA		RUSSIA:  OFF KAMCHATKA	52	159	50					
1904	60	7.9	RUSSIA		RUSSIA:  OFF KAMCHATKA	52	159	50					
1904	33	7.5	NEW ZEALAND		NEW ZEALAND:  E OF NORTH ISLAND	-40.5	177	170					
1905		7.9	USA	AK	ALASKA:  ANDREANOF ISLANDS	50.73	-178.55	150					
1905	60	7.5	KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS	-27.5	-173	170					
1905	60	7.6	KIRIBATI		KIRIBATI:  PHOENIX ISLANDS	-1	-168	170					
1905			MEXICO		MEXICO:  JALISCO	20.3	-103.4	150					
1905		6.8	COSTA RICA		COSTA RICA:  PUNTARENAS	9.85	-84.68	100					
1905			TUNISIA		TUNISIA:  BIZERTE	37.3	9.9	15					
1905			ITALY		ITALY:  CENTRAL	42.1	13.9	130					
1905	15	7.1	ITALY		"ITALY:  MONTELEONE, TROPEA, MONTE PORO"	38.67	16.07	130	557		6700	4	
1905	20	6.6	ALBANIA		ALBANIA:  SHKODER	42.1	19.6	130	120	23.8			
1905	33	6.4	BULGARIA		BULGARIA	42	23	110					
1905	30	7.8	GREECE		GREECE:  AEGEAN SEA	40.25	24.2	130					
1905	33	6.5	TURKEY		TURKEY	40.2	29	140					
1905			SYRIA		SYRIA:  RASUM-KALE (NEAR HALAB); LEBANON:  BAYRONT	36.1	37.1	140				3	
1905		5.1	RUSSIA		RUSSIA:  BLACK SEA	44.5	37.5	40					
1905		6.8	TURKEY		"TURKEY:  PUTURGE,CELIKHAN,RUMKALE"	38.1	38.6	140					
1905	60	7.5	GEORGIA		GEORGIA:  CAUCASUS	42	42	40					
1905			IRAN		"IRAN:  BANDAR ABBAS,QESHM,HENGAM"	26.4	56.3	140					
1905	25	7.8	INDIA		INDIA:  KANGRA	33	76	60	19000				
1905	33	8.4	MONGOLIA		MONGOLIA	49	98	40					
1905	33	8.4	MONGOLIA		MONGOLIA	49	99	40					
1905		5	CHINA		CHINA:  SICHUAN PROVINCE	29.3	104.8	30	13		3	1	3
1905	90	8.4	INDONESIA		INDONESIA:  MINAHASSA PENINSULA	1	123	170					
1905		6.5	PHILIPPINES		PHILIPPINES:  W. LUZON ISLAND:  TUBURAN	11	123.5	170					
1905	100	7.8	JAPAN		JAPAN:  AKI	34	132	30	11		59	2	59
1905	33	7	JAPAN		JAPAN:  OFF FUKUSHIMA	37.4	142.6	30					
1905	230	7.5	JAPAN		JAPAN:  HOKKAIDO	45	143	30					
